This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
378a7c8ad65853cc998f2aac1c885fdd268d96789517f0882bd0a37bbf9f002c 1 1 190357 0
25ce384908c572d885c2b13555d118e4fd4e86aeb01ca6295d7d1eb1633c8feb 656 0 0 0
b3905f25524db346208219878278d0a7e386504ba13b818fef751aa2aa7da14c 8897 0 0 0
8d2703305a794506099ab31df65e9042f2a512ca461980679b76d1fd2800c6bf 51 0 0 0
b743b9279e8bce225d005aebb099f5bb4f6a900ac6e7da4eb8432e5035ee20a7 207 149 90894 21009
3133dca8d2e943d87dce87a2ac43f9236fa4b92712e944fa98e15e0a95954d54 2 2 1387553 21
6df60dc05f0022e3749d39c1ca1fae5d451e65ad6809956d3361fceafe938fc0 19246 0 0 0
5c58f8734b7fb8feeb3251f92faba206a11dc797a451f2fcb41e6f08cb70dee4 1 1 10768 0
0344768fb5df91a0839e2440907ca83ad8b416a4245f9e6ded19329ab3d6b37f 11 11 1546120 4516
8ec681ca5275ea74dc8c40cc6711617fa6e5cf000e4ce733d7a18c5e13a92cca 6 6 135329 48
60b35fbb982723fdd4b309508b246262002a5a02da2cf73ca2090d60dfa27121 1 1 149215 0
ab23fe02cf210a2094fe1753cf9ed68fd4af801358ed1a6fa4720b8a6ceefd9e 0 0 0 0
116dbf3278264ec5771991fba5c298dd7f62a2e003cd17b421d19835835c290a 0 0 0 0
78a708e8d924fec8b462505784492b197585225c3cfe568bcaa00bba7f48c11b 16021 0 0 0
0bb96308a0efe3f68b77dae0a6c4f892d0db18055c11bcafa91c994bc737319d 2 2 4168 151
b8c01e31ca2d10a610173d19560eb38c1c7ee0028db4a24ed6edbd9cc593328a 21 21 11711 451
d2a10a232ec5b9ef3cbfb0fbcea23273fce91a0768b4090ebe99a7e55911636b 2 2 97 1
aec7f0627b41892bd3c33d7481c8cd9e943d4b79f3978e31a749943f63d70506 2 1 20 20
1bdd9aae6ab4d5b0a2d52c3e45c81d21d012c568472cc28fa7dec436013bb60a 2 2 2308 0
9d95bd53a33f89ae189ef84b69e1f91415c4f96110d0780ea64039bb79e5636f 11167 0 0 0
193d042724304a436a607022dc8d44c0c8bf4f88b6dbddc8dbf4e8d0c4cbe8d1 332 0 0 0
437dd6275d11d5c5391f23e4e563576b8dc50d26402057cd4d5719759a5bba33 333 1 18363 16089
dbeb90cbccf574ae1c534374c3560abf309af4766681eb100ffb80f62d95fdd3 1 1 10306 0
8fb8933fb53c4aeafdf15e27b04c32418bc25d898998b786655870a706b8a6d5 50 1 12286 3373
0207cf6bb3183dc73bd0e843cdd8d2cfbae45547043bdba7f8df634e250267dc 8 8 9907 549
367e882585a487b065e274fb06e1697295705021a71b953590424a23a24a1214 7 6 10321 180
1ddb24e5dabfa20459672eea661631f6ac7c418ae40698c689eacc1ebfcbd621 8 8 9907 549
60959b14e23173b995417ef556174139cd3c087e39484aec240aa8a6dce95ef2 64 0 0 0
d67d5cd0547a6c4cfa27eee35961411532a19c1759332837da9418bb2b950d19 84 0 0 0
c20433f1646a0efbeff8bbdfbaed5098ebaef8f4c4862a3a39aeac7ad6396e0e 2298 0 0 0
6cd421daf5f4f95105e302bf5728d02d717880de7246f421e2c5298e5cbccb0c 3734 0 0 0
e6af1d58bfd2f1c96c4e4bf8978ed17d4b240afaac56008cdc2821732f021a32 163 0 0 0
fabb219b61f81a91a4a9a293fde9460fecb936b0432dcb9dad4ca64cb227f34d 98 0 0 0
f093eef3151ed5089de856d9d0d9c58c9cab0c7ce77769292ade5d3e49507ad7 198 0 0 0
8aa417c7fde253e3c36a215da2ab77833683d8d5a58468d5eafe450a09097a14 131 100 112809 42727
6d870ddd48233c94be502a678275a3ec5e90d02413a324cd5816752437c1a101 182 134 46288 14928
882db1e6dce781f7962500be2cc09dcaa9e9bc7bc4fb88a3a9306733001ea935 173 0 0 0
afa166d9bd25c97731149fc93347ef6ba0c337c03c9611123b1944dbfdc67f97 257 0 0 0
db87eab504aff3eceee4b132a1025268b7c681b7a3644411a067dcdebb7c19f1 32 0 0 0
bde44070a3b08b0e86c6b5ae056a9d2433521fbcc576473ad7c571ff8923c99c 3 3 6994 91
b0ad179d6178b42bc727065af244d24b35401393a89133089e33a14534d70229 4646 0 0 0
6c42e64c7c83e47eace2b37e7f4fb129b6640ee185a41cc99d717f673159b1bd 209 0 0 0
2b12e92320a72e9e388e566d364128b60b8d62ae7561f62f98d8e6b969cdcd6c 52 1 1 1
fae6aa962cb5614e79a55d3b0c0752605c114e8ac185ddf1ff0667833fd6b754 1 1 759737 0
cb171f6f8dc98fafc87a6cac53bed458f7ea0254d445dab3a3ef446301ea6241 437 0 0 0
b0ebadc515c63d4cd1feee3f8f4de798d152a0139922946d94f52cf469fc2cd1 1 0 0 0
ffad826d550a9a0e7f6a9ff1057f412727b611192c99653aa2a3436de7066b5c 40 40 30935 3637
4968bd9c4957ea2e5e3dd7b575563828e107262b523d8ce44e394ee3878d19fe 61 4 106 82
5f90603f986bf2df1fab49ffd22153640291e2f01fc1718f67b8adbbca4055d3 3 3 6066 303
121a60beeb6366d629c45e48b878fa3357d37bf4890c59e5fcb57aa398e51e6b 47 1 1138 891
7f6aa3cb03433b13f6f72b65716e48840ab2cab05b3dea617ff5064cb42bdc4c 1 0 0 0
807f13fcfb5b91bdb56375c51de475e1c46f818439b226e38f55b06431f4a507 98 0 0 0
86e7b549e108af9b7f57407f97eddb321217992881e610af9c2e3975c5229afa 1810 0 0 0
659683ecf3927a9ac5be20116666e3b6f9fbf6fb72ca1a9f400d499b80ee5749 9 9 516 7
9955c0d8dc37f94f436bf8221eeece4115d424c881eccd8f6f8606ef2408c74b 0 0 0 0
6ddd0fdc265ad05dc56f9af79a531ef0d8417e4cf3177f554afffa7bf5ee5451 3 3 17 2
66dd9d6a547c6b1b1922ab5f6d6ea6a5cbffa5f3af0bd3dee592fb14538cfdb9 2 2 266 106
a9595e3264bb4871b581b9d8de304ffc9c90fdf81b465ea4fb933cc5c6fe4704 1 1 159 0
de0eedc0f140a30d0a9265beb4c9b82bde8d35e5413d4636d4e8fb082bf46801 5 5 93 1
8d9911202f9a85d5c07621f8a042bf318b4dd53d1b3591b428828b8ba832735c 1 1 146 0
7830a2dbaa455a899e0442165f7cf3f7633718e156935abffb75873b91c03a00 1 1 72 0
08e2efb9a8ff1ac65ee81d38a0b10a5abb41b9cb2a2661a28ba2e2d97e5b0c0c 1 1 67 0
6b29017887cdc9d2230331991eea3da731ef37545015c04f978eb915c6649627 459 0 0 0
f0f33a9cc29fcae0f1002094c28358ad603c05c47af50f6fd4df249a2fd72a62 4 4 18325 174
d2d6abdf9313f72996b058d8975b2da4d8ee1d57ae0cb5fbfd58d1bafe4c8762 2 2 218 2
ab60dad83a88f2931cffb0e5e7c7843627e1510a9d397fbedb4328a4334671e9 1 1 1 0
848b1387c020317135aa8e21b2d3f931eda6c38f46b06b0effe7bb86cc414144 328 0 0 0
97508b60647496425abc25cfedf20d5ed64053371e33d52f7441186dc9732017 793 0 0 0
0cb363f2e5287c9ebff87d4d55f1fb6e2611b805339d3bfbff9bbc4df1a754ba 6 6 449 2
a85f334d17a9770a798b4ea3ac1b39ff3f16830e9aa6d2818929c07adeac32a8 4 4 31066 413
5464470e6b8c159f25a12707c840d945d9c24366b0f8d27396bbc3bc8fc831d9 0 0 0 0
977cd52c789d4ebc2c6135d3e30f7859d83312b8dcc5d3f9d7607dd209715036 8 8 11602 1056
77b9e76183decf564ada594ca4d085f00d6a4ca2ad8bd16b747091857a94c973 5 5 16570 95
6afd3464a875efcf575ce3347a6a2a3d5140cf0d249084cab7a56e06fca490a3 28 28 16563 2145
b7757c0da6994fac0aaca8f4d16b36987128577b5d9cda19d605006dd49ef108 2119 0 0 0
a20700bf034dea4b6db692ea6d81e851953ac2ac77e6cf7c40ac73f4eb063b78 11 11 7660 2622
8bfff3e359e45e638e02e0e952299717dbb6ee1de98f10fef775dc5f58a7f9a0 8 8 11310 154
dd75ef6571853944caaac83da291b3d7abd56cbc73712668fd46f2c8e446ceb5 11 0 0 0
2cff39d52e86db10e591fc65b0bce9e2f774b5e4aa9dabceb6a702e9bbaa7d6e 60 0 0 0
58fbf2786195b03e19f4c5a2cd4052b965f9e813ee75c3e6e0bc84dca92a66e5 204 63 97179 18064
fe5487d888a3a96865c5b2ca6e5d1618ed5b357fbde5a9c3e502791c4e82f543 386 77 267639 70561
39437a483b99a464957220f06c8b6788e15c1ea8eac8b516a7671c842962b8b0 68 0 0 0
83fba500ff89d1def85b15865c2e9260b89470a8e4933928ea2ac207702e387e 113 0 0 0
c9131c16c6545323a6c7fe68c9fc7f7815333b74d5302adceda6ab35dd5b1e2b 227 0 0 0
57d98727d126f6c0904d19fa4beac1775be35c24aa9b2c7459842acde9a4e94e 207 0 0 0
324fb14428aa2dfb05638afa58c45476be8eb6e665c4bf1f301eee0a48433a9b 17 0 0 0
379b78a2ab1b2591b5e933e5d017b08cbdc78a7e8ab38adba5b7f581a5f5492f 16 10 38655 6597
edecfaf6a43b06f7d6ec2407b16df9fd51f4945bfe3d277b6e88c8a6b3ad3b9a 44 0 0 0
07c38d113b50822bb2ff851d84771d3d2d1367b70fa3ff03c234ff0fadb7714d 20 0 0 0
df52c4d4de0f9bb275f44f65b6b3c25a4dcf90689822c3c73a08ef6d2ac6b728 1 0 0 0
1ec7ccc3f00bf7119633758df6ffadcd759e6c7bc4dbb8fdc227378cc5c12254 259 0 0 0
230726e144a024ef433c7861f6e01c412b386af6bd207391f02c3662948464e6 65 0 0 0
aa51a4214d8b1323051c08b7adaec8fa0d5bc31270a0935e72c18e3589805de4 1 0 0 0
232b385f7eea009f33660ad033604301dfdcb88a45d5a9c1b93d5985be763ca3 6 6 159 56
228172b8541c7d4f5b1549e09fb920186dcdcf286a4775d97335bfccb663c03e 3 3 115 20
e18e21ed9e5a5ab0b536e855a1348190b3164e84dff670b5e63e8a292958c695 35 35 678688 33921
276cacc4b1b13ea5e94a9ed2e9c30540701f4049d65a06bdad9936215eb35d9f 1 1 103 0
7677c42a988fccf8cd3f2b6c67c74ec597e6e9f3c93f48f6cd090be990d228e2 2 2 3702 2
444f6d2a983a66c472826cd6ae76708392096cca2da61392d0fee7daace61f2c 2 2 124 2
c7a403774c32625e472703022a5a629d79dfd6498efd7ea3c56390ffe1be915e 6 0 0 0
28b1ad4e2be871daac7c277c6b8f4536da49a5a19c592ecb76c3d19a2030abd2 4 4 420 24
c0e7ae144e33b73574b2ffc75ce5f6e1565715a13d1059694f60f83d196e8b4c 1 1 13838 0
770b0017d2758cb17e8d1b10b6ea5c46daf64aecf1a8c1a5941b9c0ec7a8fb5a 16 10 38655 6597
b3ec666e37324db7d1fdb500a229a6abb7877c805012231037d51741a930118c 17 17 3430 40
b6e6c61982fcb36cb6c04ba2914cd76eee73d75b277c0af129bd98b853902da6 1 1 8335 0
42675c6e026d161ca94f40b9ce8fabd30ba0452a829bae42f85ae4a0aeb8ec00 0 0 0 0
fd54d18f5d2f2918feae7428f78f48c3de885257f84a5f271c2f7071fb27fddb 1 1 4093 0
637ba820a6166993c89e9c6793a027acc533002b63f7ea8fe6893426ed10a9ce 5 3 4848 2
e7c97c77fcfe58aa7909eec0aa0d2e8c9be819c9514b248859f61342b6c126aa 4 4 140 14
f3d4b44b03ce0d5be5b31c9aace70afd79b30defd37c0cfe7def363b2fd78760 6 6 31402 137
748637dbc76994b8ad2986994f8e14903d2d6a98188f3b6afe38e61d26358164 1 1 557 0
877124fc79385619ce06b5d935b242c9b9e1a003dae74564781770b8dc7dfd6b 614 0 0 0
61ae98b5965770b7ad51b8d7fddf81aeb3c53df006be931efdf3cb1042280dfe 4903 0 0 0
c7d712b70d8840a51b9126926ec1b71bdc44e5c92371dfc6d4e5eafa10891691 6589 0 0 0
4fca9dc09d3e81b96ea27bc9d718c16291399584b346bc5433285ccbce31e7cf 4019 0 0 0
ef4ed5bad786b66a68636fa02f219365803751a8f3c9f6030861ba52c5df739a 34 0 0 0
a82bff92ad001ec425d4fd4a8a721cb88396dfc933573467b2d93ac58d41bca3 169 0 0 0
f069b33ed9d040c98df89de2a864010fc29652697b0a921b05349fb3aca7aec4 1 1 3987 0
bb4f0fa0ed22b10390d86993eb724a268db86f866838d0b1b91920733e40a5f7 31 0 0 0
ec2f6be65a29f53853352479ede356dc31effeefdb66f535670430abf262009e 14 0 0 0
a9cec97bcbbe334c469ee357eeb27a05c13435c3c0d8a333b86fbef45e8ace95 1 0 0 0
71adbd3ff3a5e1fc4f52f2d54881b3da932fb6e88bc8c778d49d676f5c08b659 1 0 0 0
32e6a3ea9c7e2cfaca69a3d2459abbbbc756c257b96657af5b04b0e8fdc96525 8 0 0 0
2aa98a22ad5954d11571d0c1df2e3fe2c246f0316fd070f7dc72b23c0dddea7c 34 17 44884 19118
fe8ea7c2504904ad591a33574e69563661b08d75a1b1963326414ab5b8b795f3 62 0 0 0
18f7339090cd92254113042a17cce4bda0f0d27a894a9ebb512098743a265715 16 0 0 0
e7ab3a4b88623c57aa71ef3e536a8f665a4f52ec7662196111baf0bc1987f6ef 25 16 42857 6239
98c58be15eaf9fdf92c651d604ff768b2c7e2ba43ed811ecbcf122b752dd44c6 39 39 30866 3684
